0,23,76175,3,5,2
1,24,83875,4,6,2
2,14,41625,2,3,1
3,7,21175,1,1,0
4,29,102600,5,6,1
5,21,76800,3,3,0
6,25,88000,4,4,0
7,18,56350,2,2,0
8,22,78175,3,3,0
9,15,47175,2,2,0
10,10,29075,1,1,0
11,11,35100,1,1,0
12,20,56450,2,3,1
13,24,85775,4,5,1
14,17,53350,2,2,0
15,23,82500,4,5,1
16,17,45425,2,2,0
17,16,48550,2,2,0
18,16,52850,2,3,1
19,20,64400,3,3,0
20,12,35375,1,1,0
21,27,104425,5,5,0
22,29,104200,5,8,3
23,18,51850,2,2,0
24,11,34175,1,1,0
25,14,38425,1,2,1
26,20,70200,3,4,1
27,17,56675,2,3,1
28,26,105350,5,5,0
29,19,59450,2,3,1
30,8,18125,0,0,0
31,12,30025,1,1,0
32,15,41175,2,2,0
33,24,94500,4,6,2
34,14,35525,1,2,1
35,28,109700,5,5,0
36,14,36825,1,1,0
37,26,86075,4,5,1
38,16,46375,2,2,0
39,22,74450,3,3,0
40,18,52525,2,2,0
41,25,83275,4,5,1
42,29,102650,5,6,1
43,19,59425,2,2,0
44,21,66300,3,3,0
45,28,109850,5,7,2
46,28,105375,5,5,0
47,20,68125,3,3,0
48,28,114375,5,6,1
49,17,56200,2,3,1
50,17,51450,2,2,0
51,5,7825,0,0,0
52,12,35075,1,1,0
53,19,68575,3,4,1
54,17,49400,2,2,0
55,24,78825,3,4,1
56,10,24400,1,2,1
57,12,37050,1,2,1
58,7,14525,0,0,0
59,16,50850,2,3,1
60,22,72375,3,5,2
61,20,62550,3,3,0
62,22,70300,3,3,0
63,25,92200,4,5,1
64,12,24850,1,1,0
65,11,26250,1,1,0
66,11,26050,1,2,1
67,17,49000,2,2,0
68,12,29250,1,1,0
69,24,78725,3,4,1
70,19,58500,2,2,0
71,13,42925,2,2,0
72,22,70575,3,5,2
73,16,40125,2,2,0
74,19,52150,2,2,0
75,25,84250,4,5,1
76,10,27525,1,2,1
77,13,43450,2,2,0
78,25,83650,4,6,2
79,22,77725,3,4,1
80,19,56975,2,2,0
81,28,99500,4,4,0
82,23,77550,3,4,1
83,10,24100,1,1,0
84,27,104900,5,5,0
85,21,61525,3,4,1
86,23,75800,3,3,0
87,17,54200,2,2,0
88,18,59050,2,3,1
89,17,55750,2,4,2
90,23,80225,4,4,0
91,23,73525,3,3,0
92,23,76475,3,3,0
93,18,52625,2,3,1
94,25,82775,4,4,0
95,22,76325,3,4,1
96,23,79250,3,3,0
97,15,47225,2,2,0
98,33,113925,5,7,2
99,9,23400,1,1,0
100,22,68900,3,4,1
101,15,46500,2,3,1
102,18,62900,3,5,2
103,25,97950,4,5,1
104,20,62300,3,3,0
105,19,60250,3,3,0
106,22,74100,3,4,1
107,16,48350,2,2,0
108,25,88100,4,4,0
109,16,41350,2,2,0
110,14,37400,1,1,0
111,20,67700,3,6,3
112,2,2050,0,0,0
113,18,60975,3,5,2
114,24,86200,4,5,1
115,10,20225,1,1,0
116,14,38725,1,1,0
117,21,73950,3,5,2
118,14,45675,2,2,0
119,16,50850,2,2,0
120,16,44650,2,3,1
121,20,58775,2,3,1
122,16,48600,2,2,0
123,14,43000,2,2,0
124,23,83650,4,5,1
125,27,93875,4,5,1
126,15,42625,2,3,1
127,15,46750,2,2,0
128,25,98300,4,4,0
129,20,68875,3,3,0
130,15,44625,2,2,0
131,18,62375,3,5,2
132,20,58425,2,2,0
133,12,28925,1,1,0
134,23,76675,3,3,0
135,18,53750,2,3,1
136,22,77100,3,4,1
137,15,43500,2,2,0
138,23,82050,4,4,0
139,28,100950,5,6,1
140,23,78575,3,4,1
141,15,43300,2,2,0
142,13,34675,1,1,0
143,19,58225,2,2,0
144,18,55925,2,3,1
145,16,46725,2,2,0
146,20,61675,3,4,1
147,20,64000,3,4,1
148,6,18025,0,0,0
149,21,72550,3,3,0
150,23,80825,4,5,1
151,22,77475,3,3,0
152,21,75950,3,4,1
153,18,56775,2,2,0
154,19,58625,2,2,0
155,20,61550,3,3,0
156,22,68450,3,4,1
157,20,65975,3,4,1
158,8,26500,1,1,0
159,18,52675,2,3,1
160,21,73175,3,4,1
161,29,103025,5,6,1
162,18,50500,2,2,0
163,19,57950,2,2,0
164,14,47325,2,3,1
165,20,59250,2,2,0
166,25,82975,4,5,1
167,15,54000,2,2,0
168,24,79650,3,4,1
169,7,23750,1,1,0
170,8,20375,1,1,0
171,10,29300,1,1,0
172,28,107100,5,7,2
173,23,82500,4,4,0
174,11,29050,1,2,1
175,31,118800,5,6,1
176,21,64850,3,3,0
177,26,97500,4,7,3
178,30,114575,5,5,0
179,22,71425,3,3,0
180,22,69700,3,3,0
181,27,94675,4,4,0
182,13,38475,1,2,1
183,17,46750,2,2,0
184,26,95300,4,5,1
185,21,61500,3,3,0
186,11,28950,1,1,0
187,16,51150,2,2,0
188,27,99875,4,4,0
189,20,66125,3,3,0
190,11,30975,1,1,0
191,16,52850,2,2,0
192,24,81200,4,7,3
193,26,96850,4,5,1
194,26,95650,4,4,0
195,22,76125,3,4,1
196,19,64075,3,3,0
197,12,32875,1,1,0
198,18,48975,2,3,1
199,21,71025,3,3,0
200,21,69175,3,4,1
201,16,50600,2,3,1
202,20,73525,3,3,0
203,24,77925,3,3,0
204,27,92900,4,6,2
205,13,34575,1,1,0
206,19,54900,2,3,1
207,18,47650,2,2,0
208,14,38950,1,2,1
209,20,67650,3,5,2
210,13,33325,1,1,0
211,10,27600,1,1,0
212,23,73700,3,3,0
213,23,76650,3,5,2
214,17,50050,2,3,1
215,9,34200,1,1,0
216,18,52100,2,2,0
217,21,70600,3,3,0
218,22,75450,3,3,0
219,20,59125,2,2,0
220,23,77000,3,3,0
221,23,77475,3,3,0
222,12,32425,1,1,0
223,19,57750,2,2,0
224,19,61075,3,3,0
225,13,39600,1,1,0
226,18,53875,2,2,0
227,20,63850,3,4,1
228,20,60175,3,3,0
229,29,96750,4,6,2
230,15,49425,2,4,2
231,20,60450,3,4,1
232,14,44350,2,2,0
233,28,99775,4,5,1
234,20,63175,3,4,1
235,21,73450,3,5,2
236,18,49875,2,3,1
237,21,66800,3,3,0
238,12,31925,1,1,0
239,25,85400,4,6,2
240,25,84650,4,4,0
241,16,47875,2,2,0
242,25,84425,4,6,2
243,14,50325,2,3,1
244,21,70075,3,4,1
245,20,65575,3,4,1
246,26,81175,4,4,0
247,23,77100,3,5,2
248,25,93925,4,5,1
249,13,32950,1,1,0
250,20,61650,3,3,0
251,17,44250,2,2,0
252,19,56050,2,2,0
253,17,57225,2,2,0
254,10,24425,1,1,0
255,12,34225,1,1,0
256,25,79350,3,4,1
257,25,87600,4,4,0
258,16,45000,2,2,0
259,18,60125,3,4,1
260,16,50775,2,2,0
261,16,43750,2,2,0
262,19,59450,2,2,0
263,27,99800,4,4,0
264,10,27500,1,1,0
265,14,39375,1,1,0
266,16,42700,2,2,0
267,23,80650,4,5,1
268,26,89425,4,7,3
269,17,55425,2,2,0
270,22,69425,3,4,1
271,16,54475,2,2,0
272,24,80025,4,5,1
273,17,52950,2,2,0
274,16,49325,2,4,2
275,14,31700,1,1,0
276,17,58725,2,3,1
277,23,80100,4,5,1
278,18,50950,2,4,2
279,32,118850,5,6,1
280,17,52125,2,4,2
281,22,76250,3,4,1
282,16,59650,2,2,0
283,26,90900,4,5,1
284,9,25675,1,1,0
285,11,28875,1,1,0
286,18,58950,2,3,1
287,18,58350,2,3,1
288,23,75525,3,4,1
289,19,61825,3,4,1
290,22,74400,3,3,0
291,19,61300,3,4,1
292,9,25425,1,1,0
