0,1,10,25,3,206
0,2,14,17,3,206
0,3,18,29,3,192
0,4,22,18,3,203
0,5,26,24,3,188
0,6,30,23,3,184
0,7,34,25,3,194
0,8,38,22,3,186
0,9,42,19,3,190
0,10,46,30,3,180
0,11,50,22,3,181
0,12,54,22,3,172
0,13,58,32,3,169
0,14,62,23,3,182
0,15,66,25,3,175
0,16,70,22,3,181
0,17,74,22,3,177
0,18,78,27,3,175
0,19,82,20,3,180
0,20,86,27,3,173
0,21,90,30,3,174
0,22,94,30,3,177
0,23,98,25,3,95
1,1,10,26,3,193
1,2,14,33,3,198
1,3,18,26,3,4
1,4,22,28,3,193
1,5,26,24,3,194
1,6,30,28,3,192
1,7,34,22,3,192
1,8,38,26,3,184
1,9,42,24,3,180
1,10,46,25,3,186
1,11,50,25,3,179
1,12,54,17,3,184
1,13,58,29,3,176
1,14,62,29,3,170
1,15,66,28,3,176
1,16,70,26,3,177
1,17,74,12,3,181
1,18,78,12,3,189
1,19,82,30,3,172
1,20,86,27,3,155
1,21,90,22,3,180
1,22,94,18,3,178
1,23,98,25,3,175
1,24,102,31,3,170
2,1,10,31,3,198
2,2,14,28,3,200
2,3,18,25,3,203
2,4,22,21,3,202
2,5,26,13,3,201
2,6,30,8,3,205
2,7,34,25,3,186
2,8,38,24,3,190
2,9,42,23,3,189
2,10,46,27,3,181
2,11,50,30,3,176
2,12,54,23,3,181
2,13,58,34,3,162
2,14,62,21,3,178
3,1,10,22,3,210
3,2,14,31,3,198
3,3,18,30,3,196
3,4,22,26,3,191
3,5,26,26,3,194
3,6,30,28,3,190
3,7,34,18,3,197
4,1,10,19,3,209
4,2,14,22,3,202
4,3,18,25,3,198
4,4,22,30,3,192
4,5,26,24,3,193
4,6,30,28,3,188
4,7,34,23,3,185
4,8,38,23,3,193
4,9,42,24,3,183
4,10,46,14,3,189
4,11,50,28,3,180
4,12,54,17,3,182
4,13,58,26,3,175
4,14,62,20,3,184
4,15,66,23,3,177
4,16,70,16,3,172
4,17,74,23,3,181
4,18,78,20,3,182
4,19,82,25,3,183
4,20,86,14,3,190
4,21,90,23,3,176
4,22,94,28,3,175
4,23,98,29,3,175
4,24,102,27,3,180
4,25,106,21,3,161
4,26,110,27,3,182
4,27,114,25,3,176
4,28,118,25,3,177
4,29,122,24,3,180
5,1,10,22,3,205
5,2,14,23,3,197
5,3,18,22,3,200
5,4,22,31,3,189
5,5,26,24,3,188
5,6,30,9,3,207
5,7,34,24,3,189
5,8,38,20,3,192
5,9,42,24,3,192
5,10,46,25,3,186
5,11,50,27,3,178
5,12,54,29,3,173
5,13,58,22,3,180
5,14,62,24,3,169
5,15,66,24,3,176
5,16,70,25,3,184
5,17,74,28,3,170
5,18,78,28,3,176
5,19,82,25,3,177
5,20,86,26,3,169
5,21,90,23,3,171
6,1,10,22,3,207
6,2,14,23,3,1
6,3,18,25,3,199
6,4,22,25,3,194
6,5,26,18,3,194
6,6,30,11,3,203
6,7,34,26,3,192
6,8,38,19,3,195
6,9,42,35,3,178
6,10,46,24,3,185
6,11,50,26,3,170
6,12,54,20,3,176
6,13,58,16,3,189
6,14,62,21,3,181
6,15,66,21,3,187
6,16,70,25,3,176
6,17,74,29,3,174
6,18,78,23,3,178
6,19,82,25,3,178
6,20,86,18,3,182
6,21,90,19,3,180
6,22,94,26,3,176
6,23,98,15,3,184
6,24,102,24,3,178
6,25,106,16,3,181
7,1,10,22,3,204
7,2,14,22,3,3
7,3,18,22,3,203
7,4,22,24,3,204
7,5,26,27,3,181
7,6,30,29,3,188
7,7,34,28,3,169
7,8,38,19,3,196
7,9,42,16,3,195
7,10,46,20,3,187
7,11,50,16,3,188
7,12,54,24,3,180
7,13,58,24,3,171
7,14,62,23,3,180
7,15,66,26,3,175
7,16,70,26,3,174
7,17,74,27,3,180
8,1,10,25,3,202
8,2,14,33,3,192
8,3,18,18,3,203
8,4,22,28,3,195
8,5,26,27,3,192
8,6,30,28,3,182
8,7,34,29,3,185
8,8,38,25,3,191
8,9,42,27,3,181
8,10,46,30,3,186
8,11,50,27,3,184
8,12,54,31,3,178
8,13,58,21,3,177
8,14,62,12,3,187
8,15,66,30,3,172
8,16,70,33,3,172
8,17,74,23,3,175
8,18,78,24,3,180
8,19,82,20,3,178
8,20,86,21,3,181
8,21,90,21,3,186
8,22,94,26,3,179
9,1,10,27,3,207
9,2,14,29,3,197
9,3,18,32,3,191
9,4,22,23,3,198
9,6,30,21,3,195
9,7,34,27,3,187
9,8,38,27,3,187
9,9,42,22,3,188
9,10,46,20,3,182
9,11,50,24,3,182
9,12,54,28,3,173
9,13,58,20,3,182
9,14,62,23,3,175
10,1,10,34,3,196
10,2,14,22,3,202
10,3,18,30,3,198
10,4,22,25,3,195
10,5,26,22,3,192
10,6,30,24,3,193
10,7,34,30,3,187
10,8,38,17,3,189
10,9,42,27,3,187
10,10,46,29,3,187
11,1,10,30,3,199
11,2,14,23,3,200
11,3,18,25,3,198
11,4,22,18,3,202
11,5,26,26,3,180
11,6,30,29,3,184
11,7,34,22,3,192
11,8,38,25,3,188
11,9,42,24,3,189
11,10,46,25,3,182
11,11,50,22,3,185
12,1,10,26,3,200
12,2,14,18,3,1
12,3,18,21,3,200
12,4,22,24,3,190
12,5,26,27,3,197
12,6,30,20,3,197
12,7,34,27,3,191
12,8,38,19,3,192
12,9,42,26,3,187
12,10,46,27,3,183
12,11,50,33,3,146
12,12,54,21,3,159
12,13,58,11,3,186
12,14,62,24,3,169
12,15,66,23,3,177
12,16,70,36,3,167
12,17,74,30,3,166
12,18,78,26,3,178
12,19,82,27,3,176
12,20,86,9,3,192
13,1,10,26,3,200
13,2,14,21,3,201
13,3,18,18,3,201
13,4,22,25,3,197
13,5,26,20,3,202
13,6,30,20,3,195
13,7,34,29,3,189
13,8,38,20,3,191
13,9,42,24,3,185
13,10,46,26,3,185
13,11,50,18,3,187
13,12,54,19,3,176
13,13,58,26,3,176
13,14,62,27,3,171
13,15,66,31,3,172
13,16,70,19,3,181
13,17,74,18,3,182
13,18,78,24,3,173
13,19,82,27,3,178
13,20,86,25,3,171
13,21,90,20,3,184
13,22,94,30,3,165
13,23,98,26,3,178
13,24,102,22,3,166
14,1,10,29,3,196
14,2,14,28,3,198
14,3,18,22,3,190
14,4,22,24,3,200
14,5,26,27,3,192
14,6,30,20,3,194
14,7,34,32,3,181
14,8,38,29,3,186
14,9,42,26,3,178
14,10,46,16,3,192
14,11,50,34,3,164
14,12,54,18,3,184
14,13,58,14,3,181
14,14,62,20,3,184
14,15,66,25,3,173
14,16,70,28,3,172
14,17,74,31,3,172
15,1,10,19,3,208
15,2,14,32,3,195
15,3,18,31,3,196
15,4,22,27,3,192
15,5,26,20,3,199
15,6,30,31,3,188
15,7,34,20,3,198
15,8,38,27,3,183
15,9,42,29,3,184
15,10,46,23,3,187
15,11,50,19,3,185
15,12,54,27,3,176
