0,1,69,3450
0,2,63,6425
0,3,101,8225
0,4,46,10425
0,5,31,11950
0,6,65,15000
0,7,60,17025
0,8,43,18625
0,9,123,22375
0,10,95,26950
0,11,102,30350
0,12,88,34300
0,13,101,37850
0,14,97,40975
0,15,98,44800
0,16,82,48875
0,17,99,53650
0,18,86,56775
0,19,97,60150
0,20,113,65175
0,21,102,70025
0,22,104,73550
0,23,73,76175
1,1,76,3800
1,2,107,8525
1,3,28,8925
1,4,146,14375
1,5,40,16350
1,6,115,18975
1,7,116,23900
1,8,112,27050
1,9,74,29950
1,10,62,33025
1,11,64,35600
1,12,61,38175
1,13,69,41600
1,14,101,46400
1,15,80,49700
1,16,85,52900
1,17,84,56325
1,18,99,61075
1,19,96,64000
1,20,87,68000
1,21,101,72825
1,22,102,76300
1,23,101,81175
1,24,83,83875
2,1,93,4650
2,2,52,7250
2,3,35,8950
2,4,65,12150
2,5,41,13850
2,6,88,16475
2,7,51,18000
2,8,107,21325
2,9,94,24350
2,10,81,27100
2,11,73,30575
2,12,84,33600
2,13,129,39150
2,14,50,41625
3,1,91,4550
3,2,95,8975
3,3,58,10600
3,4,69,12425
3,5,108,17350
3,6,87,19625
3,7,32,21175
4,1,92,4600
4,2,99,5875
4,3,130,7000
4,4,73,10525
4,5,28,11900
4,6,43,12975
4,7,41,15025
4,8,70,18450
4,9,77,22200
4,10,73,25600
4,11,77,28125
4,12,136,32075
4,13,61,35025
4,14,73,37775
4,15,111,41325
4,16,100,45775
4,17,130,49525
4,18,83,52650
4,19,95,55875
4,20,93,60375
4,21,112,65250
4,22,98,69975
4,23,101,73500
4,24,126,78925
4,25,133,82875
4,26,120,86750
4,27,128,92350
4,28,137,98850
4,29,114,102600
5,1,111,5550
5,2,27,6400
5,3,116,8325
5,4,162,15175
5,5,110,17400
5,6,37,18500
5,7,65,21650
5,8,107,26675
5,9,112,32025
5,10,61,35050
5,11,51,37000
5,12,65,39750
5,13,101,43725
5,14,129,49800
5,15,99,53675
5,16,79,57525
5,17,77,61225
5,18,93,65725
5,19,156,69800
5,20,88,73925
5,21,87,76800
6,1,65,3250
6,2,23,3725
6,3,35,5450
6,4,34,7125
6,5,87,11225
6,6,46,13525
6,7,60,16175
6,8,61,19200
6,9,84,23375
6,10,99,27975
6,11,69,31325
6,12,63,34350
6,13,70,37275
6,14,85,41050
6,15,105,45425
6,16,119,50925
6,17,78,53625
6,18,84,57200
6,19,89,61525
6,20,106,66150
6,21,112,69950
6,22,110,75125
6,23,111,79975
6,24,143,83900
6,25,87,88000
7,1,51,2550
7,2,24,3125
7,3,125,8575
7,4,57,11300
7,5,105,13725
7,6,54,16000
7,7,114,19125
7,8,65,22075
7,9,107,25775
7,10,86,29800
7,11,110,33675
7,12,58,36550
7,13,65,39150
7,14,75,42725
7,15,72,46100
7,16,91,50400
7,17,113,55900
7,18,5,56350
8,1,117,5850
8,2,55,8550
8,3,60,11150
8,4,83,14825
8,5,87,17275
8,6,46,19475
8,7,55,22150
8,8,94,26300
8,9,96,29475
8,10,109,34450
8,11,69,37825
8,12,85,41875
8,13,64,44975
8,14,98,49625
8,15,74,52075
8,16,72,55625
8,17,81,59100
8,18,107,63975
8,19,83,66925
8,20,110,70425
8,21,119,75600
8,22,72,78175
9,1,128,6400
9,2,55,9150
9,3,87,13475
9,4,29,14925
9,5,38,17025
9,6,102,19875
9,7,63,22950
9,8,115,26250
9,9,51,28375
9,10,68,30950
9,11,101,35750
9,12,87,38775
9,13,95,43025
9,14,113,46925
9,15,1,47175
10,1,80,4000
10,2,161,8050
10,3,47,10150
10,4,90,14175
10,5,87,18375
10,6,46,19975
10,7,111,23450
10,8,48,24975
10,9,73,27725
10,10,35,29075
11,1,39,1950
11,2,30,2600
11,3,126,8250
11,4,60,11100
11,5,102,16025
11,6,132,19150
11,7,79,22775
11,8,50,25225
11,9,93,29550
11,10,74,33200
11,11,47,35100
12,1,49,2450
12,2,18,2675
12,3,43,4700
12,4,93,8825
12,5,64,10500
12,6,68,12500
12,7,43,14475
12,8,44,16650
12,9,97,20625
12,10,98,24675
12,11,67,26875
12,12,105,30200
12,13,63,33325
12,14,86,37175
12,15,72,40700
12,16,93,45300
12,17,75,49000
12,18,114,52825
12,19,96,56000
12,20,9,56450
13,1,36,1800
13,2,44,2500
13,3,48,4650
13,4,31,6200
13,5,134,11950
13,6,78,15500
13,7,88,19750
13,8,53,21625
13,9,91,25450
13,10,121,30350
13,11,86,34375
13,12,70,37125
13,13,72,40725
13,14,89,43475
13,15,97,47675
13,16,80,51475
13,17,78,55125
13,18,161,61575
13,19,98,66300
13,20,90,69200
13,21,102,73175
13,22,122,78750
13,23,115,82400
13,24,90,85775
14,1,42,2100
14,2,58,3425
14,3,58,6200
14,4,93,10200
14,5,34,11375
14,6,88,15625
14,7,43,17000
14,8,49,19375
14,9,102,24125
14,10,52,26000
14,11,63,29100
14,12,60,31975
14,13,110,36775
14,14,113,42000
14,15,81,45825
14,16,81,49725
14,17,73,53350
15,1,87,4350
15,2,61,7375
15,3,137,13625
15,4,61,16625
15,5,65,19675
15,6,101,22575
15,7,38,24475
15,8,51,27000
15,9,97,31500
15,10,62,34525
15,11,89,38750
15,12,74,41475
15,13,109,44925
15,14,90,49225
15,15,85,52750
15,16,81,55950
15,17,88,59625
15,18,85,63675
15,19,88,66850
15,20,117,71925
15,21,99,76250
15,22,106,79500
15,23,71,82500
16,1,39,1950
16,2,28,3550
16,3,104,5200
16,4,53,7675
16,5,57,10525
16,6,61,13550
16,7,36,15200
16,8,131,21150
16,9,55,23825
16,10,72,26375
16,11,61,28575
16,12,61,31625
16,13,87,34400
16,14,96,38750
16,15,71,42000
16,16,92,45225
16,17,4,45425
17,1,23,1350
17,2,160,8000
17,3,94,9125
17,4,97,11275
17,5,78,13475
17,6,73,16650
17,7,48,19050
17,8,51,21600
17,9,98,26200
17,10,54,28175
17,11,51,30675
17,12,86,33650
17,13,116,37450
17,14,67,39925
17,15,119,45300
17,16,69,48550
18,1,38,1900
18,2,74,5575
18,3,96,10025
18,4,84,13700
18,5,101,18150
18,6,77,20325
18,7,55,22700
18,8,61,25700
18,9,54,27575
18,10,97,32050
18,11,55,34750
18,12,97,39300
18,13,76,43000
18,14,80,46975
18,15,84,51050
18,16,38,52850
19,1,30,1500
19,2,48,3800
19,3,96,7975
19,4,84,9700
19,5,56,12350
19,6,49,14775
19,7,59,17675
19,8,40,19650
19,9,87,23475
19,10,105,28600
19,11,88,31800
19,12,66,34550
19,13,80,38350
19,14,73,41550
19,15,81,44700
19,16,91,48825
19,17,106,53600
19,18,123,57325
19,19,92,61350
19,20,78,64400
20,1,15,950
20,2,57,3750
20,3,84,7625
20,4,91,11625
20,5,56,14300
20,6,98,17450
20,7,40,19450
20,8,55,22175
20,9,87,26150
20,10,92,30575
20,11,110,33650
20,12,37,35375
21,1,67,3350
21,2,141,8725
21,3,63,10075
21,4,66,12875
21,5,52,15300
21,6,101,19975
21,7,63,22925
21,8,45,24925
21,9,72,28100
21,10,119,32750
21,11,85,36925
21,12,56,39225
21,13,102,42675
21,14,78,46225
21,15,140,50075
21,16,107,54675
21,17,75,58375
21,18,97,62975
21,19,94,66150
21,20,105,70300
21,21,106,75175
21,22,100,79650
21,23,109,84325
21,24,153,90875
21,25,123,94275
21,26,117,99325
21,27,106,104425
22,1,42,2100
22,2,39,4050
22,3,82,8000
22,4,26,8850
22,5,71,12325
22,6,79,15800
22,7,66,18975
22,8,60,21850
22,9,82,25100
22,10,94,28800
22,11,63,31925
22,12,73,34500
22,13,68,37800
22,14,75,41450
22,15,78,45175
22,16,97,48750
22,17,98,51775
22,18,94,54875
22,19,118,60200
22,20,87,63075
22,21,99,66825
22,22,98,71525
22,23,112,75425
22,24,106,80125
22,25,132,84100
22,26,118,89400
22,27,128,95350
22,28,133,100625
22,29,90,104200
23,1,131,6550
23,2,67,9650
23,3,20,10150
23,4,67,11750
23,5,48,14100
23,6,46,15325
23,7,59,17200
23,8,55,19000
23,9,90,22075
23,10,48,24350
23,11,91,27625
23,12,69,30700
23,13,91,34875
23,14,98,39150
23,15,100,43650
