0,1,10,25,0,0,0,0,2200
0,2,14,17,0,0,0,409,2200
0,3,18,29,0,0,0,51,2200
0,4,22,18,0,0,0,0,2200
0,5,26,26,0,0,0,0,2200
0,6,30,21,0,0,0,0,2200
0,7,34,25,0,0,0,0,2200
0,8,38,26,0,0,0,0,2200
0,9,42,24,0,0,0,0,2200
0,10,46,30,0,0,0,0,2200
0,11,50,20,1,0,0,0,1739
0,11,50,27,0,0,0,0,2200
0,12,54,17,0,0,0,0,2200
0,13,58,31,0,0,0,0,2200
0,14,62,22,0,0,0,0,2200
0,15,66,25,0,0,0,0,2200
0,15,66,24,0,0,0,0,2200
0,16,70,23,0,0,0,0,2200
0,17,74,24,0,0,0,0,2200
0,18,78,27,0,0,0,0,2200
0,19,82,24,0,0,0,0,2200
0,19,82,23,0,0,0,0,2200
0,20,86,27,0,0,0,0,2200
0,21,90,30,0,0,0,0,2200
0,22,94,30,0,0,0,0,2200
0,23,98,25,0,0,0,0,2200
0,24,102,28,0,0,0,0,2200
0,25,106,18,0,0,0,0,2200
0,25,106,18,0,0,0,0,2200
0,25,106,18,0,0,0,0,2200
0,26,110,17,0,0,0,0,2200
0,26,110,17,0,0,0,0,2200
0,27,114,33,0,0,0,0,2200
0,28,118,28,0,0,0,0,2200
0,28,118,28,0,0,0,0,2200
0,29,122,17,0,0,0,0,2200
0,29,122,14,0,0,0,0,2200
0,29,122,26,0,0,0,0,2200
0,29,122,26,0,0,0,0,2200
0,29,122,28,0,0,0,0,2200
0,30,126,31,0,0,0,0,2200
0,30,126,32,0,0,0,0,2200
0,30,126,32,0,0,0,0,2200
0,30,126,32,0,0,0,0,2200
0,30,126,32,0,0,0,0,2200
0,30,126,32,0,0,0,0,2200
0,31,130,10,0,0,0,0,2200
0,31,130,11,0,0,0,0,2200
0,32,134,23,0,0,0,0,2200
0,32,134,23,0,0,0,0,2200
0,33,138,26,0,0,0,0,2200
0,33,138,27,0,0,0,0,2200
0,33,138,26,0,0,0,0,2200
0,33,138,26,0,0,0,0,2200
0,33,138,26,0,0,0,0,2200
1,1,10,26,0,0,0,51,2200
1,2,14,33,0,0,0,204,2200
1,3,18,26,0,0,256,307,2200
1,4,22,28,0,0,0,0,2200
1,5,26,25,0,0,0,0,2200
1,6,30,28,0,0,0,0,2200
1,7,34,26,0,0,0,0,2200
1,8,38,30,0,0,0,0,2200
1,9,42,24,0,0,0,0,2200
1,10,46,25,0,0,0,0,2200
1,11,50,31,0,0,0,0,2200
1,12,54,17,0,0,0,0,2200
1,13,58,31,0,0,0,0,2200
1,14,62,30,0,0,0,0,2200
1,15,66,28,0,0,0,0,2200
1,16,70,21,0,0,0,0,2200
1,17,74,23,0,0,0,0,2200
1,18,78,12,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,19,82,23,0,0,0,0,2200
1,20,86,27,0,0,0,0,2200
1,20,86,27,0,0,0,0,2200
1,21,90,22,0,0,0,0,2200
1,22,94,20,0,0,0,0,2200
1,23,98,25,0,0,0,0,2200
1,24,102,33,0,0,0,0,2200
1,24,102,33,0,0,0,0,2200
1,25,106,26,0,0,0,0,2200
1,26,110,22,0,0,0,0,2200
1,26,110,0,1,0,0,0,252
1,26,110,20,0,0,0,0,2200
1,26,110,21,0,0,0,0,2200
1,27,114,19,0,0,0,0,2200
1,28,118,16,0,0,0,0,2200
1,29,122,29,0,0,0,0,2200
1,29,122,29,0,0,0,0,2200
1,30,126,26,0,0,0,0,2200
1,30,126,26,0,0,0,0,2200
1,30,126,23,0,0,0,0,2200
1,30,126,32,0,0,0,0,2200
1,31,130,21,0,0,0,0,2200
1,31,130,21,0,0,0,0,2200
1,31,130,21,0,0,0,0,2200
1,32,134,31,0,0,0,0,2200
1,32,134,31,0,0,0,0,2200
1,33,138,19,0,0,0,0,2200
1,33,138,28,0,0,0,0,2200
1,33,138,27,0,0,0,0,2200
1,33,138,33,0,0,0,0,2200
1,34,142,30,0,0,0,0,2200
1,34,142,22,0,0,0,0,2200
1,34,142,33,0,0,0,0,2200
1,34,142,33,0,0,0,0,2200
2,1,10,30,0,0,0,0,2200
2,2,14,28,0,0,0,102,2200
2,3,18,27,0,0,0,0,2200
2,4,22,27,0,0,0,102,2200
2,5,26,13,0,0,0,0,2200
2,6,30,9,0,0,0,0,2200
2,7,34,25,0,0,0,0,2200
2,8,38,24,0,0,0,0,2200
2,9,42,29,0,0,0,0,2200
2,10,46,29,0,0,0,0,2200
2,11,50,30,0,0,0,0,2200
2,12,54,24,0,0,0,0,2200
2,13,58,37,0,0,0,0,2200
2,14,62,26,0,0,0,0,2200
2,15,66,23,0,0,0,0,2200
2,16,70,14,0,0,0,0,2200
2,16,70,27,0,0,0,0,2200
2,16,70,27,0,0,0,0,2200
2,16,70,26,0,0,0,0,2200
2,17,74,16,0,0,0,0,2200
2,18,78,19,0,0,0,0,2200
2,19,82,15,0,0,0,0,2200
2,20,86,28,0,0,0,0,2200
2,21,90,32,0,0,0,0,2200
2,22,94,26,0,0,0,0,2200
2,23,98,25,0,0,0,0,2200
2,23,98,25,0,0,0,0,2200
2,24,102,21,0,0,0,0,2200
2,25,106,30,0,0,0,0,2200
2,26,110,19,0,0,0,0,2200
2,27,114,23,0,0,0,0,2200
2,28,118,23,0,0,0,0,2200
2,28,118,23,0,0,0,0,2200
2,28,118,29,0,0,0,0,2200
2,29,122,28,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,29,122,25,0,0,0,0,2200
2,30,126,14,0,0,0,0,2200
2,30,126,24,0,0,0,0,2200
2,30,126,20,0,0,0,0,2200
2,31,130,36,0,0,0,0,2200
2,32,134,29,0,0,0,0,2200
2,33,138,24,0,0,0,0,2200
2,33,138,26,0,0,0,0,2200
2,34,142,20,0,0,0,0,2200
2,34,142,20,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
2,35,146,12,0,0,0,0,2200
3,1,10,22,0,0,0,0,2200
3,2,14,31,0,0,0,0,2200
3,3,18,30,0,0,0,0,2200
3,4,22,26,0,0,0,358,2200
3,5,26,26,0,0,0,0,2200
3,6,30,29,0,0,0,0,2200
3,7,34,18,0,0,0,0,2200
3,8,38,26,0,0,0,0,2200
3,9,42,30,0,0,0,0,2200
3,10,46,27,0,0,0,0,2200
3,11,50,14,0,0,0,0,2200
3,12,54,0,1,0,0,0,252
3,12,54,20,0,0,0,0,2200
3,13,58,14,0,0,0,0,2200
3,14,62,22,0,0,0,0,2200
3,15,66,25,0,0,0,0,2200
3,16,70,22,0,0,0,0,2200
3,17,74,28,0,0,0,0,2200
3,18,78,18,0,0,0,0,2200
3,19,82,27,0,0,0,0,2200
3,20,86,22,0,0,0,0,2200
